chamber,district_code,state_abbrev,affiliation,twitter_handle,bioname,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
House,4,OH,R,Jim_Jordan,"JORDAN, Jim",0.703,-0.188,-28.49269,0.92203,351,17
House,14,OH,R,RepDaveJoyce,"JOYCE, David",0.256,0.239,-37.03326,0.90301,363,21
Senate,0,VA,D,timkaine,"KAINE, Timothy Michael (Tim)",-0.229,-0.111,-20.19181,0.88611,167,7
House,9,OH,D,RepMarcyKaptur,"KAPTUR, Marcia Carolyn (Marcy)",-0.35,0.118,-62.69893,0.84137,363,26
House,24,NY,R,RepJohnKatko,"KATKO, John",0.207,-0.03,-47.8035,0.87661,363,16
House,9,MA,D,USRepKeating,"KEATING, William R.",-0.328,-0.163,-34.72191,0.90926,365,17
House,3,PA,R,MikeKellyPA,"KELLY, Mike",0.317,0.521,-16.33545,0.9554,358,5
House,2,IL,D,RepRobinKelly,"KELLY, Robin L.",-0.449,-0.026,-17.96517,0.95052,354,8
House,1,MS,R,RepTrentKelly,"KELLY, Trent",0.556,0.309,-16.96548,0.95494,368,5
Senate,0,LA,R,SenJohnKennedy,"KENNEDY, John Neely",0.682,0.375,-4.34573,0.97476,170,2
House,4,MA,D,RepJoeKennedy,"KENNEDY, Joseph P. III",-0.433,-0.127,-19.48305,0.9483,367,8
House,17,CA,D,RepRoKhanna,"KHANNA, Rohit",-0.578,-0.196,-17.73258,0.9522,362,6
House,4,NV,D,RepKihuen,"KIHUEN, Ruben Jesus",-0.355,0.073,-29.79337,0.92057,360,12
House,5,MI,D,RepDanKildee,"KILDEE, Dan",-0.413,-0.151,-23.15036,0.93805,362,12
House,6,WA,D,RepDerekKilmer,"KILMER, Derek",-0.3,-0.066,-29.86544,0.92205,368,18
House,3,WI,D,RepRonKind,"KIND, Ron",-0.264,-0.105,-56.01209,0.8581,366,27
Senate,0,ME,D,SenAngusKing,"KING, Angus Stanley, Jr.",-0.146,-0.252,-36.43408,0.80709,170,23
House,2,NY,R,RepPeteKing,"KING, Peter T.",0.261,-0.032,-34.15578,0.90753,352,9
House,4,IA,R,SteveKingIA,"KING, Steve",0.618,0.276,-50.12188,0.8707,362,10
House,16,IL,R,RepKinzinger,"KINZINGER, Adam",0.271,0.293,-27.84225,0.92694,367,20
Senate,0,MN,D,amyklobuchar,"KLOBUCHAR, Amy",-0.24,-0.176,-13.61245,0.92305,170,3
House,25,CA,R,SteveKnight25,"KNIGHT, Steve",0.43,0.134,-26.26807,0.93074,366,15
House,8,IL,D,CongressmanRaja,"KRISHNAMOORTHI, S. Raja",-0.342,-0.17,-21.31308,0.94373,368,6
House,2,NH,D,RepAnnieKuster,"KUSTER, Ann McLane",-0.259,-0.133,-38.28158,0.89965,362,21
House,8,TN,R,repdavidkustoff,"KUSTOFF, David",0.531,-0.203,-20.4105,0.94576,366,5
House,1,ID,R,Raul_Labrador,"LABRADOR, Raê_l R.",0.726,-0.569,-28.67436,0.91555,325,9
House,18,IL,R,RepLaHood,"LaHOOD, Darin",0.441,0.052,-27.98937,0.92676,368,20
House,1,CA,R,RepLaMalfa,"LaMALFA, Doug",0.56,0.067,-28.27465,0.92365,356,10
House,5,CO,R,RepDLamborn,"LAMBORN, Doug",0.689,0.198,-17.1981,0.95335,360,4
House,7,NJ,R,RepLanceNJ7,"LANCE, Leonard",0.342,-0.222,-56.14311,0.85779,366,26
House,2,RI,D,JimLangevin,"LANGEVIN, James",-0.375,0.107,-27.39836,0.92749,364,9
Senate,0,OK,R,SenatorLankford,"LANKFORD, James",0.562,0.169,-3.13882,0.98171,170,2
House,2,WA,D,RepRickLarsen,"LARSEN, Richard Ray (Rick)",-0.365,0.204,-25.54206,0.92904,347,12
House,1,CT,D,RepJohnLarson,"LARSON, John B.",-0.401,-0.059,-31.41088,0.91509,354,15
House,5,OH,R,boblatta,"LATTA, Robert E.",0.518,0.253,-16.86501,0.95521,368,7
House,14,MI,D,RepLawrence,"LAWRENCE, Brenda L",-0.447,-0.053,-19.61711,0.94697,360,11
House,5,FL,D,RepAlLawsonJr,"LAWSON, Alfred Jr.",-0.226,-0.063,-47.62313,0.87768,365,25
Senate,0,VT,D,SenatorLeahy,"LEAHY, Patrick Joseph",-0.374,-0.139,-12.79612,0.92624,167,3
House,13,CA,D,RepBarbaraLee,"LEE, Barbara",-0.685,-0.642,-16.88342,0.95418,360,12
Senate,0,UT,R,SenMikeLee,"LEE, Mike",0.919,-0.394,-10.74549,0.9384,169,4
House,9,MI,D,repsandylevin,"LEVIN, Sander Martin",-0.377,-0.094,-24.04301,0.93675,368,16
House,2,MN,R,RepJasonLewis,"LEWIS, Jason Mark",0.407,-0.094,-25.3236,0.93333,367,10
House,5,GA,D,repjohnlewis,"LEWIS, John R.",-0.588,-0.236,-15.86497,0.95665,358,6
House,33,CA,D,RepTedLieu,"LIEU, Ted",-0.336,-0.411,-28.18581,0.91644,323,17
House,3,IL,D,RepLipinski,"LIPINSKI, Daniel",-0.236,0.194,-52.98167,0.86557,367,17
House,2,NJ,R,RepLoBiondo,"LoBIONDO, Frank A.",0.212,-0.233,-78.17729,0.80861,368,33
House,2,IA,D,daveloebsack,"LOEBSACK, Dave",-0.278,-0.057,-31.32464,0.91711,362,20
House,19,CA,D,RepZoeLofgren,"LOFGREN, Zoe",-0.4,-0.458,-32.4241,0.91318,357,15
House,7,MO,R,USRepLong,"LONG, Billy",0.567,0.33,-11.04266,0.96804,340,3
House,11,GA,R,RepLoudermilk,"LOUDERMILK, Barry D.",0.669,-0.077,-18.13405,0.95127,363,7
House,4,UT,R,RepMiaLove,"LOVE, Ludmya Bourdeau (Mia)",0.578,-0.055,-20.19327,0.94603,364,6
House,47,CA,D,RepLowenthal,"LOWENTHAL, Alan",-0.441,-0.353,-19.50653,0.94796,365,9
House,17,NY,D,NitaLowey,"LOWEY, Nita M.",-0.389,-0.159,-21.3088,0.94314,364,9
House,3,OK,R,RepFrankLucas,"LUCAS, Frank D.",0.363,0.409,-21.71047,0.94271,368,7
House,3,MO,R,RepBlainePress,"LUETKEMEYER, Blaine",0.448,0.238,-12.72646,0.96601,368,3
House,1,NM,D,RepLujanGrisham,"LUJAN GRISHAM, Michelle",-0.324,0.092,-45.55403,0.88297,366,20
House,3,NM,D,repbenraylujan,"LUJêÅN, Ben Ray",-0.368,0.039,-38.14779,0.90127,367,11
House,8,MA,D,RepStephenLynch,"LYNCH, Stephen F.",-0.35,0.021,-38.2201,0.89927,360,22
House,3,NJ,R,RepTomMacArthur,"MacARTHUR, Thomas Charles",0.212,0.275,-33.90802,0.91129,365,18
House,12,NY,D,RepMaloney,"MALONEY, Carolyn Bosher",-0.384,-0.284,-33.14342,0.90891,347,14
House,18,NY,D,RepSeanMaloney,"MALONEY, Sean Patrick",-0.227,0.089,-52.33164,0.86643,365,26
Senate,0,WV,D,Sen_JoeManchin,"MANCHIN, Joe, III",-0.064,0.458,-32.63383,0.82534,170,17
House,24,TX,R,RepKenMarchant,"MARCHANT, Kenny",0.601,0.163,-28.09248,0.9235,353,10
House,10,PA,R,RepTomMarino,"MARINO, Thomas A.",0.357,0.496,-22.24893,0.93344,323,8
Senate,0,MA,D,senmarkey,"MARKEY, Edward John",-0.5,-0.428,-17.08385,0.90385,169,9
House,1,KS,R,RogerMarshallMD,"MARSHALL, Roger Wayne",0.545,0.177,-17.23404,0.954,366,5
House,4,KY,R,RepThomasMassie,"MASSIE, Thomas",0.668,-0.744,-119.87413,0.72135,367,46
House,18,FL,R,RepBrianMast,"MAST, Brian Jeffery",0.319,-0.149,-48.63872,0.87619,368,23
House,6,CA,D,DorisMatsui,"MATSUI, Doris",-0.435,-0.177,-29.12741,0.92123,355,19
Senate,0,AZ,R,SenJohnMcCain,"McCAIN, John Sidney, III",0.381,-0.624,-24.70455,0.85267,155,10
House,23,CA,R,GOPLeader,"MCCARTHY, Kevin",0.462,0.192,-15.70931,0.95776,364,2
Senate,0,MO,D,clairecmc,"McCASKILL, Claire",-0.147,-0.001,-31.2995,0.82816,166,11
House,10,TX,R,RepMcCaul,"McCAUL, Michael T.",0.449,0.079,-22.00918,0.94021,357,6
House,4,CA,R,RepMcClintock,"McCLINTOCK, Tom",0.745,-0.526,-30.72544,0.91948,366,8
House,4,MN,D,BettyMcCollum04,"McCOLLUM, Betty",-0.421,-0.17,-25.47438,0.93259,365,13
Senate,0,KY,R,SenateMajLdr,"McCONNELL, Addison Mitchell (Mitch)",0.404,0.003,-7.08978,0.95892,169,2
House,4,VA,D,RepMcEachin,"MCEACHIN, Aston Donald",-0.491,0.108,-24.04324,0.93343,349,13
House,2,MA,D,RepMcGovern,"McGOVERN, James P.",-0.536,-0.307,-18.31631,0.95106,365,15
House,10,NC,R,PatrickMcHenry,"McHENRY, Patrick T.",0.584,0.108,-13.73093,0.96338,368,3
House,1,WV,R,RepMcKinley,"McKINLEY, David",0.293,0.117,-46.85711,0.87983,366,24
House,5,WA,R,cathymcmorris,"McMORRIS RODGERS, Cathy",0.427,0.153,-14.82169,0.96052,368,4
House,9,CA,D,RepMcNerney,"McNERNEY, Jerry",-0.258,-0.132,-27.98112,0.9264,366,11
House,2,AZ,R,RepMcSally,"McSALLY, Martha",0.328,-0.001,-41.03332,0.89199,359,20
House,11,NC,R,RepMarkMeadows,"MEADOWS, Mark",0.625,-0.164,-19.76788,0.94657,360,6
House,7,PA,R,RepMeehan,"MEEHAN, Patrick",0.221,0.074,-40.19575,0.89545,364,19
House,5,NY,D,GregoryMeeks,"MEEKS, Gregory W.",-0.418,-0.082,-26.97975,0.92436,343,14
Senate,0,NJ,D,SenatorMenendez,"MENENDEZ, Robert",-0.36,-0.114,-36.7118,0.80371,168,12
House,6,NY,D,RepGraceMeng,"MENG, Grace",-0.382,-0.137,-25.05376,0.93295,361,9
Senate,0,OR,D,SenJeffMerkley,"MERKLEY, Jeff",-0.445,-0.76,-19.57353,0.89064,169,10
House,6,IN,R,RepLukeMesser,"MESSER, Luke",0.561,-0.086,-20.11614,0.94565,360,6
House,10,MI,R,RepPaulMitchell,"MITCHELL, Paul",0.502,0.129,-19.97514,0.94717,368,7
House,4,MI,R,RepMoolenaar,"MOOLENAAR, John",0.429,0.484,-17.58333,0.95334,368,9
House,2,WV,R,RepAlexMooney,"MOONEY, Alex X.",0.569,-0.238,-45.53368,0.88302,366,16
House,4,WI,D,RepGwenMoore,"MOORE, Gwendolynne S. (Gwen)",-0.529,-0.252,-22.02798,0.93762,342,7
Senate,0,KS,R,JerryMoran,"MORAN, Jerry",0.412,0.266,-7.50045,0.95556,165,3
House,6,MA,D,sethmoulton,"MOULTON, Seth",-0.31,-0.053,-33.18206,0.91355,367,13
House,2,OK,R,RepMullin,"MULLIN, Markwayne",0.491,0.516,-16.99553,0.9545,365,3
House,5,SC,R,MickMulvaneyOMB,"MULVANEY, Mick",0.75,-0.592,-0.09233,0.9817,5,0
Senate,0,AK,R,lisamurkowski,"MURKOWSKI, Lisa",0.207,-0.291,-21.4491,0.8774,164,5
Senate,0,CT,D,ChrisMurphyCT,"MURPHY, Christopher",-0.309,-0.188,-19.78116,0.88892,168,9
House,7,FL,D,RepStephMurphy,"MURPHY, Stephanie",-0.175,-0.072,-54.59889,0.86,362,21
House,18,PA,R,RepTimMurphy,"MURPHY, Timothy",0.259,0.195,-27.95236,0.92628,365,13
Senate,0,WA,D,PattyMurray,"MURRAY, Patty",-0.341,-0.297,-12.21469,0.93067,170,3
House,10,NY,D,RepJerryNadler,"NADLER, Jerrold Lewis",-0.51,-0.501,-22.43057,0.93843,353,13
House,32,CA,D,gracenapolitano,"NAPOLITANO, Grace Flores",-0.446,-0.237,-13.68908,0.94148,227,6
House,1,MA,D,RepRichardNeal,"NEAL, Richard Edmund",-0.416,-0.121,-26.28121,0.92997,362,14
Senate,0,FL,D,SenBillNelson,"NELSON, Clarence William (Bill)",-0.192,0.341,-26.37693,0.85628,170,8
House,4,WA,R,RepNewhouse,"NEWHOUSE, Daniel Milton",0.365,0.184,-15.50215,0.95397,329,5
House,1,SD,R,RepKristiNoem,"NOEM, Kristi",0.386,0.345,-23.82716,0.93681,365,11
House,8,MN,D,USRepRickNolan,"NOLAN, Richard Michael",-0.371,-0.425,-49.47439,0.8716,360,24
House,1,NJ,D,DonaldNorcross,"NORCROSS, Donald",-0.382,0.272,-35.55584,0.90718,365,13
House,5,SC,R,RepRalphNorman,"NORMAN, Ralph",0.752,-0.142,-6.70987,0.9351,100,2
House,22,CA,R,DevinNunes,"NUNES, Devin",0.453,0.183,-14.5891,0.96039,361,4
House,1,AZ,D,RepOHalleran,"O'HALLERAN, Thomas C.",-0.15,0.014,-73.37784,0.81833,366,33
House,16,TX,D,RepBetoORourke,"O'ROURKE, Beto",-0.321,-0.331,-41.04614,0.89308,363,16
House,22,TX,R,RepPeteOlson,"OLSON, Pete",0.538,0.316,-15.12489,0.95897,361,4
House,4,MS,R,CongPalazzo,"PALAZZO, Steven",0.497,0.52,-22.42355,0.9401,363,8
House,6,NJ,D,FrankPallone,"PALLONE, Frank, Jr.",-0.398,-0.168,-24.53717,0.9355,368,17
House,6,AL,R,USRepGaryPalmer,"PALMER, Gary James",0.776,-0.134,-16.83845,0.95393,357,7
House,20,CA,D,RepJimmyPanetta,"PANETTA, James Varni",-0.287,-0.259,-35.3583,0.90815,367,14
House,9,NJ,D,BillPascrell,"PASCRELL, William J., Jr.",-0.365,0.008,-37.01536,0.90177,358,15
Senate,0,KY,R,RandPaul,"PAUL, Rand",0.878,-0.479,-30.65696,0.83137,166,12
House,3,MN,R,RepErikPaulsen,"PAULSEN, Erik",0.411,-0.201,-35.75984,0.9074,368,21
House,10,NJ,D,RepDonaldPayne,"PAYNE, Donald, Jr.",-0.505,-0.151,-16.0304,0.95216,327,5
House,2,NM,R,RepStevePearce,"PEARCE, Stevan",0.472,0.064,-38.92788,0.89884,365,22
House,12,CA,D,NancyPelosi,"PELOSI, Nancy",-0.493,-0.203,-18.43658,0.94315,315,13
Senate,0,GA,R,SenDavidPerdue,"PERDUE, David Alfred, Jr.",0.655,-0.311,-6.46436,0.96247,169,3
House,7,CO,D,RepPerlmutter,"PERLMUTTER, Ed",-0.286,0.104,-40.27378,0.89218,353,16
House,4,PA,R,RepScottPerry,"PERRY, Scott",0.649,-0.339,-25.58661,0.9323,365,15
Senate,0,MI,D,SenGaryPeters,"PETERS, Gary C.",-0.233,-0.213,-28.1519,0.84487,167,8
House,52,CA,D,RepScottPeters,"PETERS, Scott",-0.177,-0.071,-66.82807,0.83311,366,33
House,7,MN,D,collinpeterson,"PETERSON, Collin Clark",-0.145,0.715,-111.18866,0.7374,365,48
House,1,ME,D,chelliepingree,"PINGREE, Chellie",-0.427,-0.388,-21.46726,0.94303,366,8
House,9,NC,R,reppittenger,"PITTENGER, Robert",0.556,0.297,-19.50798,0.94653,355,15
House,2,WI,D,repmarkpocan,"POCAN, Mark",-0.553,-0.457,-16.82781,0.95506,366,8
House,2,TX,R,JudgeTedPoe,"POE, Ted",0.595,-0.03,-52.12991,0.86307,354,26
House,2,ME,R,RepPoliquin,"POLIQUIN, Bruce Lee",0.374,-0.258,-40.76876,0.89377,363,20
House,2,CO,D,RepJaredPolis,"POLIS, Jared",-0.281,-0.686,-31.80533,0.91633,364,11
House,4,KS,R,,"POMPEO, Mike",0.66,0.164,-5.00E-05,0.99995,1,0
Senate,0,OH,R,SenRobPortman,"PORTMAN, Robert Jones (Rob)",0.375,-0.258,-14.20313,0.91939,169,5
House,8,FL,R,congbillposey,"POSEY, Bill",0.508,-0.311,-36.76819,0.90442,366,14
House,4,NC,D,RepDavidEPrice,"PRICE, David Eugene",-0.339,-0.03,-25.56097,0.93164,361,14
House,6,GA,R,RepTomPrice,"PRICE, Tom",0.644,-0.073,-0.02153,0.98929,2,0
House,5,IL,D,RepMikeQuigley,"QUIGLEY, Mike",-0.318,-0.309,-19.0818,0.94795,357,8
House,8,MD,D,RepRaskin,"RASKIN, Jamie Ben",-0.555,-0.064,-17.54061,0.95308,365,7
House,4,TX,R,RepRatcliffe,"RATCLIFFE, John",0.743,0.11,-25.81739,0.93153,364,18
Senate,0,RI,D,SenJackReed,"REED, John F. (Jack)",-0.39,-0.254,-16.56225,0.90717,170,7
House,23,NY,R,RepTomReed,"REED, Thomas W. II",0.301,0.083,-28.61016,0.92381,361,16
House,8,WA,R,davereichert,"REICHERT, David G.",0.222,-0.171,-55.80111,0.85454,355,24
House,16,OH,R,RepJimRenacci,"RENACCI, Jim",0.381,0.128,-34.28345,0.90592,347,17
House,4,NY,D,RepKathleenRice,"RICE, Kathleen Maura",-0.283,-0.083,-37.3425,0.90275,365,20
House,7,SC,R,RepTomRice,"RICE, Tom",0.58,-0.275,-23.5141,0.93591,355,12
House,2,LA,D,RepRichmond,"RICHMOND, Cedric",-0.469,0.32,-36.20834,0.89457,325,17
Senate,0,ID,R,SenatorRisch,"RISCH, James",0.631,0.575,-2.77537,0.98381,170,1
Senate,0,KS,R,SenPatRoberts,"ROBERTS, Charles Patrick (Pat)",0.415,-0.096,-2.83481,0.98346,170,1
House,2,AL,R,RepMarthaRoby,"ROBY, Martha",0.361,0.669,-13.33245,0.96442,368,2
House,1,TN,R,DrPhilRoe,"ROE, David P. (Phil)",0.494,-0.005,-17.34288,0.9536,365,9
House,5,KY,R,RepHalRogers,"ROGERS, Harold Dallas (Hal)",0.332,0.086,-17.88559,0.95218,365,3
House,3,AL,R,RepMikeRogersAL,"ROGERS, Mike Dennis",0.336,0.439,-29.14955,0.92159,357,14
House,48,CA,R,DanaRohrabacher,"ROHRABACHER, Dana",0.628,-0.401,-47.38991,0.87437,353,16
House,4,IN,R,ToddRokita,"ROKITA, Todd",0.593,-0.16,-29.4651,0.92224,364,16
House,19,FL,R,RepRooney,"ROONEY, Francis",0.618,0.08,-10.87314,0.97081,367,1
House,17,FL,R,TomRooney,"ROONEY, Thomas J.",0.468,0.013,-20.59138,0.94206,345,5
House,27,FL,R,RosLehtinen,"ROS-LEHTINEN, Ileana",0.245,-0.228,-95.59153,0.7668,360,50
House,3,NV,D,RepJackyRosen,"ROSEN, Jacklyn Sheryl",-0.221,0.113,-53.8334,0.86322,366,27
House,6,IL,R,PeterRoskam,"ROSKAM, Peter",0.439,0.03,-20.92681,0.94164,348,10
House,15,FL,R,RepDennisRoss,"ROSS, Dennis",0.534,0.083,-14.66061,0.96063,365,6
House,12,PA,R,KeithRothfus,"ROTHFUS, Keith",0.501,0.122,-14.22015,0.9621,368,4
Senate,0,SD,R,SenatorRounds,"ROUNDS, Marion Michael (Mike)",0.382,0.037,-2.19141,0.98719,170,0
House,7,NC,R,RepDavidRouzer,"ROUZER, David",0.618,0.146,-20.30521,0.94589,365,14
House,40,CA,D,RepRoybalAllard,"ROYBAL-ALLARD, Lucille",-0.47,-0.202,-28.29972,0.9252,364,16
House,39,CA,R,RepEdRoyce,"ROYCE, Edward Randall",0.666,-0.367,-28.54256,0.92458,364,8
Senate,0,FL,R,marcorubio,"RUBIO, Marco",0.589,-0.325,-8.35915,0.95174,169,4
House,36,CA,D,CongressmanRuiz,"RUIZ, Raul",-0.233,0.051,-43.97525,0.88708,367,22
House,2,MD,D,Call_Me_Dutch,"RUPPERSBERGER, C. A. (Dutch)",-0.299,0.154,-41.13786,0.89341,365,20
House,1,IL,D,RepBobbyRush,"RUSH, Bobby L.",-0.479,-0.211,-30.72171,0.87342,227,15
House,5,OK,R,RepRussell,"RUSSELL, Steve",0.443,-0.174,-77.22202,0.80597,358,23
House,4,FL,R,RepRutherfordFL,"RUTHERFORD, John Henry",0.376,0.603,-13.27189,0.96194,342,6
House,1,WI,R,SpeakerRyan,"RYAN, Paul D.",0.556,-0.252,-1.29895,0.72272,4,1
House,13,OH,D,RepTimRyan,"RYAN, Timothy J.",-0.401,0.212,-26.00281,0.92288,324,10
Senate,0,VT,D,SenSanders,"SANDERS, Bernard",-0.513,-0.308,-20.37254,0.88318,164,10
House,1,SC,R,RepSanfordSC,"SANFORD, Mark",0.697,-0.717,-69.78188,0.81346,338,38
House,3,MD,D,RepSarbanes,"SARBANES, John",-0.46,-0.106,-22.08213,0.94145,366,9
Senate,0,NE,R,SenSasse,"SASSE, Benjamin Eric",0.833,-0.402,-12.76789,0.92597,166,5
House,1,LA,R,SteveScalise,"SCALISE, Steve",0.56,0.127,-7.42994,0.97106,253,2
House,9,IL,D,janschakowsky,"SCHAKOWSKY, Janice D.",-0.604,-0.276,-15.25035,0.95875,362,6
Senate,0,HI,D,brianschatz,"SCHATZ, Brian Emanuel",-0.395,-0.119,-27.28154,0.85011,168,10
House,28,CA,D,RepAdamSchiff,"SCHIFF, Adam",-0.346,-0.13,-22.37988,0.94068,366,9
House,10,IL,D,RepSchneider,"SCHNEIDER, Brad",-0.184,-0.225,-47.96591,0.8778,368,24
House,5,OR,D,RepSchrader,"SCHRADER, Kurt",-0.189,0.039,-101.16904,0.7452,344,44
Senate,0,NY,D,SenSchumer,"SCHUMER, Charles Ellis (Chuck)",-0.35,-0.404,-16.70123,0.90643,170,8
House,6,AZ,R,RepDavid,"SCHWEIKERT, David",0.636,-0.327,-26.30897,0.93082,367,9
House,8,GA,R,AustinScottGA08,"SCOTT, Austin",0.588,0.196,-20.45623,0.94593,368,6
House,13,GA,D,repdavidscott,"SCOTT, David",-0.304,0.177,-35.93577,0.90269,351,21
House,3,VA,D,BobbyScott,"SCOTT, Robert C.",-0.454,0.021,-41.84,0.89253,368,24
Senate,0,SC,R,SenatorTimScott,"SCOTT, Tim",0.669,-0.011,-2.36931,0.98616,170,0
House,5,WI,R,,"SENSENBRENNER, Frank James, Jr.",0.646,-0.625,-36.22616,0.90601,367,9
House,15,NY,D,RepJoseSerrano,"SERRANO, Josê© E.",-0.488,-0.397,-25.50829,0.93303,368,11
Senate,0,AL,R,,"SESSIONS, Jefferson Beauregard III (Jeff)",0.549,0.13,-0.56654,0.97062,19,0
House,32,TX,R,PeteSessions,"SESSIONS, Pete",0.587,0.17,-14.1554,0.96175,363,5
House,7,AL,D,repterrisewell,"SEWELL, Terri",-0.393,0.408,-28.84797,0.9234,362,9
Senate,0,NH,D,SenatorShaheen,"SHAHEEN, Jeanne",-0.272,-0.343,-14.05439,0.92065,170,6
House,1,NH,D,RepSheaPorter,"SHEA-PORTER, Carol",-0.316,-0.102,-32.67041,0.9137,362,14
Senate,0,AL,R,SenShelby,"SHELBY, Richard C.",0.433,0.542,-1.80295,0.98939,169,0
House,30,CA,D,BradSherman,"SHERMAN, Brad",-0.344,-0.15,-27.33098,0.92766,364,13
House,15,IL,R,RepShimkus,"SHIMKUS, John M.",0.373,0.133,-18.55994,0.95082,368,5
House,9,PA,R,RepBillShuster,"SHUSTER, William (Bill)",0.376,0.323,-25.85657,0.92994,356,10
House,2,ID,R,CongMikeSimpson,"SIMPSON, Michael K.",0.294,0.275,-17.52372,0.95197,356,7
House,9,AZ,D,RepSinema,"SINEMA, Kyrsten",-0.11,0.043,-102.53525,0.737,336,48
House,8,NJ,D,RepSires,"SIRES, Albio",-0.398,0.086,-38.99942,0.8976,361,12
House,25,NY,D,louiseslaughter,"SLAUGHTER, Louise McIntosh",-0.464,-0.11,-14.07015,0.95477,304,3
House,9,WA,D,RepAdamSmith,"SMITH, Adam",-0.281,-0.135,-47.87542,0.87515,359,15
House,3,NE,R,RepAdrianSmith,"SMITH, Adrian",0.508,0.188,-18.84884,0.94954,364,5
House,4,NJ,R,RepChrisSmith,"SMITH, Christopher Henry",0.159,-0.175,-92.18067,0.77682,365,29
House,8,MO,R,RepJasonSmith,"SMITH, Jason",0.605,0.169,-21.02125,0.94374,363,12
House,21,TX,R,LamarSmithTX21,"SMITH, Lamar Seeligson",0.423,0.059,-18.25548,0.94918,350,4
House,16,PA,R,RepSmucker,"SMUCKER, Lloyd K.",0.286,0.469,-23.24135,0.93864,367,5
House,38,CA,D,RepLindaSanchez,"SêÅNCHEZ, Linda T.",-0.504,-0.168,-17.55549,0.9524,360,8
House,9,FL,D,RepDarrenSoto,"SOTO, Darren Michael",-0.333,0.04,-27.92259,0.92674,367,12
House,14,CA,D,RepSpeier,"SPEIER, Karen Lorraine Jacqueline (Jackie)",-0.387,-0.445,-25.15506,0.93215,358,9
Senate,0,MI,D,SenStabenow,"STABENOW, Deborah Ann",-0.327,0.017,-20.38921,0.88571,168,9
House,21,NY,R,RepStefanik,"STEFANIK, Elise M",0.214,0.049,-43.29865,0.889,368,12
House,2,UT,R,RepChrisStewart,"STEWART, Chris",0.519,0.122,-14.07177,0.96156,359,4
House,15,OH,R,RepSteveStivers,"STIVERS, Steve",0.304,0.244,-22.80482,0.93692,350,15
Senate,0,AL,R,lutherstrange,"STRANGE, Luther  Johnson, III",0.659,0.254,-1.12873,0.98988,111,0
Senate,0,AK,R,SenDanSullivan,"SULLIVAN, Daniel Scott",0.463,0.138,-5.52268,0.96728,166,2
House,3,NY,D,RepTomSuozzi,"SUOZZI, Thomas",-0.201,-0.013,-65.81474,0.8325,359,29
House,15,CA,D,RepSwalwell,"SWALWELL, Eric",-0.359,-0.1,-37.17302,0.89978,352,22
House,41,CA,D,RepMarkTakano,"TAKANO, Mark",-0.477,-0.186,-22.63861,0.93771,352,13
House,2,VA,R,RepScottTaylor,"TAYLOR, Scott William",0.446,0.069,-17.08955,0.95313,356,5
House,22,NY,R,claudiatenney,"TENNEY, Claudia",0.258,0.45,-19.99443,0.94669,365,11
Senate,0,MT,D,SenatorTester,"TESTER, Jon",-0.214,0.171,-24.17724,0.86743,170,9
House,2,MS,D,BennieGThompson,"THOMPSON, Bennie",-0.514,0.404,-24.06651,0.93568,362,8
House,5,PA,R,CongressmanGT,"THOMPSON, Glenn",0.309,0.357,-24.24906,0.93589,366,17
House,5,CA,D,RepThompson,"THOMPSON, Michael",-0.395,0.063,-35.68871,0.90757,368,15
House,13,TX,R,MacThornberry,"THORNBERRY, William McClellan (Mac)",0.53,0.306,-15.00037,0.96006,368,5
Senate,0,SD,R,SenJohnThune,"THUNE, John",0.409,0.126,-3.76929,0.97807,170,2
House,12,OH,R,PatTiberi,"TIBERI, Patrick (Pat)",0.388,-0.033,-27.95138,0.92428,355,13
Senate,0,NC,R,SenThomTillis,"TILLIS, Thomas Roland (Thom)",0.44,-0.045,-1.47748,0.99098,163,0
House,3,CO,R,RepTipton,"TIPTON, Scott",0.462,-0.041,-35.33922,0.90748,364,19
House,1,NV,D,repdinatitus,"TITUS, Alice (Dina)",-0.296,-0.18,-23.04786,0.93254,330,8
House,20,NY,D,RepPaulTonko,"TONKO, Paul",-0.421,-0.266,-14.61948,0.95932,352,2
Senate,0,PA,R,SenToomey,"TOOMEY, Patrick Joseph",0.629,-0.29,-5.26405,0.9686,165,2
House,35,CA,D,NormaJTorres,"TORRES, Norma Judith",-0.366,0.032,-26.29677,0.92993,362,13
House,11,MI,R,repdavetrott,"TROTT, David A.",0.373,0.303,-16.99334,0.95427,363,4
House,3,MA,D,nikiinthehouse,"TSONGAS, Nicola S. (Niki)",-0.4,-0.182,-22.82667,0.93755,354,11
House,10,OH,R,RepMikeTurner,"TURNER, Michael R.",0.267,0.169,-32.36956,0.91536,366,19
Senate,0,NM,D,SenatorTomUdall,"UDALL, Thomas (Tom)",-0.455,0.182,-31.55786,0.82687,166,16
House,6,MI,R,RepFredUpton,"UPTON, Frederick Stephen",0.339,-0.412,-54.05521,0.86339,368,24
House,21,CA,R,RepDavidValadao,"VALADAO, David G.",0.256,0.353,-22.36809,0.93992,361,14
Senate,0,MD,D,ChrisVanHollen,"VAN HOLLEN, Christopher",-0.4,-0.176,-13.15074,0.92556,170,4
House,51,CA,D,RepJuanVargas,"VARGAS, Juan",-0.384,0.114,-30.0796,0.92089,365,10
