member,follower.ideo,bioname,Party
repwilson,-0.68674841,"WILSON, Frederica",Democratic
repyvetteclarke,-0.249371107,"CLARKE, Yvette Diane",Democratic
repzoelofgren,0.189866896,"LOFGREN, Zoe",Democratic
robert_aderholt,1.184023361,"ADERHOLT, Robert",Republican
robertdold,0.997141681,"DOLD, Robert",Republican
robwittman,1.194238245,"WITTMAN, Robert J.",Republican
rodneydavis,0.957790668,"DAVIS, Rodney",Republican
rogermarshallmd,1.22824283,"MARSHALL, Roger Wayne",Republican
ronwyden,-0.171593194,"WYDEN, Ronald Lee",Democratic
rosadelauro,-0.663560242,"DeLAURO, Rosa L.",Democratic
roslehtinen,1.254468019,"ROS-LEHTINEN, Ileana",Republican
royblunt,1.166721033,"BLUNT, Roy",Republican
samspressshop,1.213132678,"JOHNSON, Sam",Republican
sanfordbishop,0.641839936,"BISHOP, Sanford Dixon, Jr.",Democratic
sen_joemanchin,0.489494891,"MANCHIN, Joe, III",Democratic
senalexander,1.105095605,"ALEXANDER, Lamar",Republican
senangusking,0.444526788,"KING, Angus Stanley, Jr.",Democratic
senatemajldr,1.137800407,"McCONNELL, Addison Mitchell (Mitch)",Republican
senatorbaldwin,0.031877762,"BALDWIN, Tammy",Democratic
senatorbarb,-0.086258566,"MIKULSKI, Barbara Ann",Democratic
senatorburr,0.809357894,"BURR, Richard M.",Republican
senatorcantwell,-0.258695337,"CANTWELL, Maria E.",Democratic
senatorcardin,0.228256659,"CARDIN, Benjamin Louis",Democratic
senatorcarper,0.652011785,"CARPER, Thomas Richard",Democratic
senatorcollins,0.589475548,"COLLINS, Susan Margaret",Republican
senatordurbin,-0.073224421,"DURBIN, Richard Joseph",Democratic
senatorenzi,1.134053183,"ENZI, Michael B.",Republican
senatorfischer,1.13830473,"FISCHER, Debra (Deb)",Republican
senatorhassan,0.205360841,"HASSAN, Margaret (Maggie)",Democratic
senatorheitkamp,0.467326709,"HEITKAMP, Mary Kathryn (Heidi)",Democratic
senatorisakson,0.995743533,"ISAKSON, Johnny",Republican
senatorkirk,0.725058494,"KIRK, Mark Steven",Republican
senatorlankford,0.836009373,"LANKFORD, James",Republican
senatorleahy,-0.152282994,"LEAHY, Patrick Joseph",Democratic
senatormenendez,-0.043841128,"MENENDEZ, Robert",Democratic
senatorreid,0.272414622,"REID, Harry",Democratic
senatorrisch,1.120052049,"RISCH, James",Republican
senatorrounds,1.040757788,"ROUNDS, Marion Michael (Mike)",Republican
senatorshaheen,-0.188604976,"SHAHEEN, Jeanne",Democratic
senatortester,0.115176383,"TESTER, Jon",Democratic
senatortimscott,1.277181089,"SCOTT, Tim",Republican
senatortomudall,0.391653296,"UDALL, Thomas (Tom)",Democratic
senatorwicker,1.064957605,"WICKER, Roger F.",Republican
senbennetco,0.550031297,"BENNET, Michael F.",Democratic
senbillnelson,0.428251615,"NELSON, Clarence William (Bill)",Democratic
senblumenthal,-0.40610926,"BLUMENTHAL, Richard",Democratic
senbobcasey,0.141021337,"CASEY, Robert (Bob), Jr.",Democratic
senbobcorker,0.747042855,"CORKER, Robert (Bob)",Republican
senbrianschatz,0.613382241,"SCHATZ, Brian Emanuel",Democratic
sencapito,0.961852965,"CAPITO, Shelley Moore",Republican
sencortezmasto,0.343056035,"CORTEZ MASTO, Catherine Marie",Democratic
sencorygardner,0.639723159,"GARDNER, Cory",Republican
sendansullivan,0.991870903,"SULLIVAN, Daniel Scott",Republican
sendavidperdue,1.00860025,"PERDUE, David Alfred, Jr.",Republican
sendeanheller,0.951117678,"HELLER, Dean",Republican
sendonnelly,0.745516107,"DONNELLY, Joe",Democratic
senduckworth,-0.372407037,"DUCKWORTH, Tammy",Democratic
senfeinstein,-0.225501256,"FEINSTEIN, Dianne",Democratic
senfranken,-0.848750077,"FRANKEN, Al",Democratic
sengarypeters,0.350338447,"PETERS, Gary C.",Democratic
sengillibrand,-0.257390318,"GILLIBRAND, Kirsten",Democratic
senjackreed,0.385652853,"REED, John F. (Jack)",Democratic
senjeffmerkley,-0.145093501,"MERKLEY, Jeff",Democratic
senjohnbarrasso,1.184456825,"BARRASSO, John A.",Republican
senjohnhoeven,1.046343946,"HOEVEN, John",Republican
senjohnkennedy,0.915027739,"KENNEDY, John Neely",Republican
senjohnmccain,0.698491428,"McCAIN, John Sidney, III",Republican
senjohnthune,1.243740832,"THUNE, John",Republican
senkamalaharris,-0.558167223,"HARRIS, Kamala Devi",Democratic
senmarkey,-0.622036722,"MARKEY, Edward John",Democratic
senmikelee,1.543166362,"LEE, Mike",Republican
senorrinhatch,1.22923782,"HATCH, Orrin Grant",Republican
senpatroberts,1.143027593,"ROBERTS, Charles Patrick (Pat)",Republican
senrobportman,0.844102496,"PORTMAN, Robert Jones (Rob)",Republican
senronjohnson,1.090638863,"JOHNSON, Ron",Republican
sensanders,-0.149945615,"SANDERS, Bernard",Democratic
sensasse,0.742481632,"SASSE, Benjamin Eric",Republican
senschumer,-0.095349498,"SCHUMER, Charles Ellis (Chuck)",Democratic
senshelby,1.119322109,"SHELBY, Richard C.",Republican
sensherrodbrown,0.053946755,"BROWN, Sherrod",Democratic
senstabenow,0.114096048,"STABENOW, Deborah Ann",Democratic
sentedcruz,1.536123053,"CRUZ, Rafael Edward (Ted)",Republican
senthadcochran,1.092142792,"COCHRAN, William Thad",Republican
senthomtillis,1.031751467,"TILLIS, Thomas Roland (Thom)",Republican
sentinasmith,-0.61436142,"SMITH, Tina",Democratic
sentoddyoung,1.024078523,"YOUNG, Todd",Republican
sentomcotton,1.407505146,"COTTON, Tom",Republican
sentoomey,0.858664589,"TOOMEY, Patrick Joseph",Republican
senwarren,-0.44802691,"WARREN, Elizabeth",Democratic
senwhitehouse,-0.104517902,"WHITEHOUSE, Sheldon",Democratic
sethmoulton,-0.599160281,"MOULTON, Seth",Democratic
speakerryan,1.120181377,"RYAN, Paul D.",Republican
stevedaines,1.065630857,"DAINES, Steve",Republican
stevekingia,1.620112663,"KING, Steve",Republican
steveknight25,0.720161263,"KNIGHT, Steve",Republican
stevescalise,1.74830182,"SCALISE, Steve",Republican
supjanicehahn,0.064225139,"HAHN, Janice",Democratic
susanwbrooks,0.98877511,"BROOKS, Susan",Republican
tgowdysc,1.635648182,"GOWDY, Trey",Republican
timkaine,0.066577455,"KAINE, Timothy Michael (Tim)",Democratic
toddrokita,1.467364571,"ROKITA, Todd",Republican
tomcoleok04,1.203872602,"COLE, Tom",Republican
tomrooney,1.22651096,"ROONEY, Thomas J.",Republican
tulsipress,0.163293392,"GABBARD, Tulsi",Democratic
txrandy14,1.301428772,"WEBER, Randy",Republican
usrepgarypalmer,1.034350368,"PALMER, Gary James",Republican
usrepkcastor,0.195039466,"CASTOR, Kathy",Democratic
usrepkeating,0.28101725,"KEATING, William R.",Democratic
usreplong,0.99851629,"LONG, Billy",Republican
usrepmikedoyle,0.775035225,"DOYLE, Michael F.",Democratic
usreprhinojosa,0.442513506,"HINOJOSA, RubÍ©n",Democratic
usrepricknolan,0.064124792,"NOLAN, Richard Michael",Democratic
usreprodney,1.01990119,"FRELINGHUYSEN, Rodney P.",Republican
vernbuchanan,1.193528019,"BUCHANAN, Vernon G.",Republican
virginiafoxx,0.982467387,"FOXX, Virginia Ann",Republican
warrendavidson,1.360773348,"DAVIDSON, Warren",Republican
westmoreland_ga,1.188509318,"WESTMORELAND, Lynn A.",Republican
whiphoyer,-0.042202024,"HOYER, Steny Hamilton",Democratic
